SCIENTIFIC_NAME,TAXON_TERM_ID,TAXON_NAME_ID,CLASSIFICATION_ID,TERM,TERM_TYPE,SOURCE,GN_SCORE,POSITION_IN_CLASSIFICATION,LASTDATE,MATCH_TYPE
Attenosaurus subulensis,1291066954,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,Attenosaurus subulensis,scientific_name,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066924,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,"Thurmond and Jones, 1981",author_text,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066925,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,ICZN,nomenclatural_code,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066926,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,https://www.gbif.org/species/4975487,source_authority,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066927,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,ichnotaxon,taxon_status,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066955,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,"<i>Attenosaurus subulensis</i> Thurmond and Jones, 1981",display_name,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066928,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,valid,taxon_status,Arctos Ichnology,,,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066929,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,Animalia,kingdom,Arctos Ichnology,,1,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066930,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,Chordata,phylum,Arctos Ichnology,,2,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066931,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,Reptilia,class,Arctos Ichnology,,3,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066932,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,Attenosaurus,genus,Arctos Ichnology,,4,{ts '2021-05-19 00:00:00'},
Attenosaurus subulensis,1291066933,11577948,025865C7-0C56-489D-BAFBB51D58F3ABC3,Attenosaurus subulensis,species,Arctos Ichnology,,5,{ts '2021-05-19 00:00:00'},
Brontozoum isodactylum,1294671314,11799188,031B300C-60F9-4791-8BB9615C0950D5D4,Brontozoum isodactylum,scientific_name,Arctos Ichnology,,,{ts '2021-05-28 00:00:00'},
