SCIENTIFIC_NAME,TAXON_NAME_ID,TAXON_TERM_ID,CLASSIFICATION_ID,TERM,TERM_TYPE,SOURCE,POSITION_IN_CLASSIFICATION
unidentifiable,0,1427809,0,unidentifiable,genus,Arctos,1
unidentifiable,0,1427811,0,valid,taxon_status,Arctos,
unidentifiable,0,1427812,0,University of Alaska Museum,source_authority,Arctos,
unidentifiable,0,1427813,0,noncompliant,nomenclatural_code,Arctos,
unidentifiable,0,510186967,0,<i>unidentifiable</i>,display_name,Arctos,
unidentifiable,0,510186968,0,unidentifiable,scientific_name,Arctos,
unidentifiable,0,1314705134,0,unidentifiable,scientific_name,Arctos,
unidentifiable,0,1314705135,0,<i>unidentifiable</i>,display_name,Arctos,
Cetacea,102,1427840,102,Animalia,kingdom,Arctos,1
Cetacea,102,1427841,102,Chordata,phylum,Arctos,2
Cetacea,102,1427842,102,Mammalia,class,Arctos,3
Cetacea,102,1427843,102,Cetacea,order,Arctos,4
Cetacea,102,1427845,102,valid,taxon_status,Arctos,
Cetacea,102,1427846,102,University of Alaska Museum,source_authority,Arctos,
Cetacea,102,1427847,102,ICZN,nomenclatural_code,Arctos,
Cetacea,102,510183169,102,Cetacea,display_name,Arctos,
Cetacea,102,510183170,102,Cetacea,scientific_name,Arctos,
Cetacea,102,1314725990,102,Cetacea,scientific_name,Arctos,
Cetacea,102,1314725991,102,Cetacea,display_name,Arctos,
Spermophilus,480,142066972,480,ICZN,nomenclatural_code,Arctos,
Spermophilus,480,142066973,480,Museum of Vertebrate Zoology,source_authority,Arctos,
Spermophilus,480,142066974,480,valid,taxon_status,Arctos,
Spermophilus,480,142066975,480,Animalia,kingdom,Arctos,1
Spermophilus,480,142066976,480,Chordata,phylum,Arctos,2
Spermophilus,480,142066977,480,Mammalia,class,Arctos,3
Spermophilus,480,142066978,480,Rodentia,order,Arctos,4
Spermophilus,480,142066979,480,Sciurognathi,suborder,Arctos,5
Spermophilus,480,142066980,480,Sciuridae,family,Arctos,6
Spermophilus,480,142066981,480,Xerinae,subfamily,Arctos,7
Spermophilus,480,142066982,480,Marmotini,tribe,Arctos,8
Spermophilus,480,142066983,480,Spermophilus,genus,Arctos,9
Spermophilus,480,514792548,480,<i>Spermophilus</i>,display_name,Arctos,
Spermophilus,480,514792549,480,Spermophilus,scientific_name,Arctos,
Glycymeris,73318,1502686,73318,Animalia,kingdom,Arctos,1
Glycymeris,73318,1502687,73318,Mollusca,phylum,Arctos,2
Glycymeris,73318,1502688,73318,Bivalvia,class,Arctos,3
Glycymeris,73318,1502689,73318,Arcoida,order,Arctos,4
Glycymeris,73318,1502690,73318,Glycymerididae,family,Arctos,5
Glycymeris,73318,1502691,73318,Glycymeris,genus,Arctos,6
Glycymeris,73318,1502693,73318,valid,taxon_status,Arctos,
Glycymeris,73318,1502694,73318,University of Alaska Museum,source_authority,Arctos,
Glycymeris,73318,1502695,73318,ICZN,nomenclatural_code,Arctos,
Glycymeris,73318,510186357,73318,<i>Glycymeris</i>,display_name,Arctos,
Glycymeris,73318,510186358,73318,Glycymeris,scientific_name,Arctos,
Gastropoda,73626,396481931,73626,"Cuvier, 1797",author_text,Arctos,
Gastropoda,73626,396481933,73626,ICZN,nomenclatural_code,Arctos,
Gastropoda,73626,396481934,73626,Animalia,kingdom,Arctos,1
Gastropoda,73626,396481935,73626,Protostomia,infrakingdom,Arctos,2
Gastropoda,73626,396481936,73626,Lophozoa,superphylum,Arctos,3
Gastropoda,73626,396481937,73626,Mollusca,phylum,Arctos,4
Gastropoda,73626,396481938,73626,Gastropoda,class,Arctos,5
Gastropoda,73626,509959017,73626,Gastropoda,display_name,Arctos,
Gastropoda,73626,509959018,73626,Gastropoda,scientific_name,Arctos,
Trichotropis,74209,1508269,74209,Animalia,kingdom,Arctos,1
Trichotropis,74209,1508270,74209,Mollusca,phylum,Arctos,2
Trichotropis,74209,1508271,74209,Gastropoda,class,Arctos,3
Trichotropis,74209,1508272,74209,Mesogastropoda,order,Arctos,4
Trichotropis,74209,1508273,74209,Trichotropidae,family,Arctos,5
Trichotropis,74209,1508274,74209,Trichotropis,genus,Arctos,6
Trichotropis,74209,1508276,74209,valid,taxon_status,Arctos,
Trichotropis,74209,1508277,74209,University of Alaska Museum,source_authority,Arctos,
Trichotropis,74209,1508278,74209,ICZN,nomenclatural_code,Arctos,
Trichotropis,74209,510187615,74209,<i>Trichotropis</i>,display_name,Arctos,
Trichotropis,74209,510187616,74209,Trichotropis,scientific_name,Arctos,
Turbo,74286,1508873,74286,Animalia,kingdom,Arctos,1
Turbo,74286,1508874,74286,Mollusca,phylum,Arctos,2
Turbo,74286,1508875,74286,Gastropoda,class,Arctos,3
Turbo,74286,1508876,74286,Archaeogastropoda,order,Arctos,4
Turbo,74286,1508877,74286,Turbinidae,family,Arctos,5
Turbo,74286,1508878,74286,Turbo,genus,Arctos,6
Turbo,74286,1508880,74286,valid,taxon_status,Arctos,
Turbo,74286,1508881,74286,University of Alaska Museum,source_authority,Arctos,
Turbo,74286,1508882,74286,ICZN,nomenclatural_code,Arctos,
Turbo,74286,510187761,74286,<i>Turbo</i>,display_name,Arctos,
Turbo,74286,510187762,74286,Turbo,scientific_name,Arctos,
Camelidae,1075044,1515295,1075044,Animalia,kingdom,Arctos,1
Camelidae,1075044,1515296,1075044,Chordata,phylum,Arctos,2
Camelidae,1075044,1515297,1075044,Mammalia,class,Arctos,3
Camelidae,1075044,1515298,1075044,Artiodactyla,order,Arctos,4
Camelidae,1075044,1515299,1075044,Camelidae,family,Arctos,5
Camelidae,1075044,1515301,1075044,valid,taxon_status,Arctos,
Camelidae,1075044,1515302,1075044,Museum of Southwestern Biology,source_authority,Arctos,
Camelidae,1075044,1515303,1075044,ICZN,nomenclatural_code,Arctos,
Camelidae,1075044,510187009,1075044,Camelidae,display_name,Arctos,
Camelidae,1075044,510187010,1075044,Camelidae,scientific_name,Arctos,
Rodentia,1108739,1578710,1108739,Animalia,kingdom,Arctos,1
Rodentia,1108739,1578711,1108739,Chordata,phylum,Arctos,2
Rodentia,1108739,1578712,1108739,Mammalia,class,Arctos,3
Rodentia,1108739,1578713,1108739,Rodentia,order,Arctos,4
Rodentia,1108739,1578715,1108739,valid,taxon_status,Arctos,
Rodentia,1108739,1578716,1108739,Museum of Southwestern Biology,source_authority,Arctos,
Rodentia,1108739,1578717,1108739,ICZN,nomenclatural_code,Arctos,
Rodentia,1108739,510196301,1108739,Rodentia,display_name,Arctos,
Rodentia,1108739,510196302,1108739,Rodentia,scientific_name,Arctos,
Sciurus,1108934,217185,1108934,Animalia,kingdom,Arctos,1
Sciurus,1108934,217186,1108934,Chordata,phylum,Arctos,2
Sciurus,1108934,217187,1108934,Mammalia,class,Arctos,3
Sciurus,1108934,217188,1108934,Rodentia,order,Arctos,4
Sciurus,1108934,217189,1108934,Sciurognathi,suborder,Arctos,5
Sciurus,1108934,217190,1108934,Sciuridae,family,Arctos,6
Sciurus,1108934,217191,1108934,Sciurinae,subfamily,Arctos,7
Sciurus,1108934,217192,1108934,Sciurus,genus,Arctos,8
Sciurus,1108934,217194,1108934,valid,taxon_status,Arctos,
Sciurus,1108934,217195,1108934,Museum of Vertebrate Zoology,source_authority,Arctos,
Sciurus,1108934,217196,1108934,ICZN,nomenclatural_code,Arctos,
Sciurus,1108934,510027411,1108934,<i>Sciurus</i>,display_name,Arctos,
Sciurus,1108934,510027412,1108934,Sciurus,scientific_name,Arctos,
Lithophaga,2054645,8744394,2054645,Animalia,kingdom,Arctos,1
Lithophaga,2054645,8744395,2054645,Mollusca,phylum,Arctos,2
Lithophaga,2054645,8744396,2054645,Bivalvia,class,Arctos,3
Lithophaga,2054645,8744397,2054645,Mytiloida,order,Arctos,4
Lithophaga,2054645,8744398,2054645,Mytilidae,family,Arctos,5
Lithophaga,2054645,8744399,2054645,Lithophaga,genus,Arctos,6
Lithophaga,2054645,8744401,2054645,valid,taxon_status,Arctos,
Lithophaga,2054645,8744402,2054645,ITIS,source_authority,Arctos,
Lithophaga,2054645,8744403,2054645,Imported from ITIS 6 Feb 2007,remark,Arctos,
Lithophaga,2054645,8744404,2054645,ICZN,nomenclatural_code,Arctos,
Lithophaga,2054645,511193461,2054645,<i>Lithophaga</i>,display_name,Arctos,
Lithophaga,2054645,511193462,2054645,Lithophaga,scientific_name,Arctos,
Serpula,2054884,8747203,2054884,Animalia,kingdom,Arctos,1
Serpula,2054884,8747204,2054884,Annelida,phylum,Arctos,2
Serpula,2054884,8747205,2054884,Polychaeta,class,Arctos,3
Serpula,2054884,8747206,2054884,Canalipalpata,order,Arctos,4
Serpula,2054884,8747207,2054884,Sabellida,suborder,Arctos,5
Serpula,2054884,8747208,2054884,Serpulidae,family,Arctos,6
Serpula,2054884,8747209,2054884,Serpula,genus,Arctos,7
Serpula,2054884,8747211,2054884,valid,taxon_status,Arctos,
Serpula,2054884,8747212,2054884,ITIS,source_authority,Arctos,
Serpula,2054884,8747213,2054884,Imported from ITIS 6 Feb 2007,remark,Arctos,
Serpula,2054884,8747214,2054884,ICZN,nomenclatural_code,Arctos,
Serpula,2054884,511189543,2054884,<i>Serpula</i>,display_name,Arctos,
Serpula,2054884,511189544,2054884,Serpula,scientific_name,Arctos,
Serripes,2055302,621707080,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,"Gould, 1841",author_text,Arctos,
Serripes,2055302,621707081,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,ICZN,nomenclatural_code,Arctos,
Serripes,2055302,621707082,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Imported from ITIS 6 Feb 2007,remark,Arctos,
Serripes,2055302,621707083,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,valid,taxon_status,Arctos,
Serripes,2055302,621707085,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,ITIS,source_authority,Arctos,
Serripes,2055302,621707086,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Animalia,kingdom,Arctos,1
Serripes,2055302,621707087,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Mollusca,phylum,Arctos,2
Serripes,2055302,621707088,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Bivalvia,class,Arctos,3
Serripes,2055302,621707089,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Heterodonta,subclass,Arctos,4
Serripes,2055302,621707090,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Euheterodonta,infraclass,Arctos,5
Serripes,2055302,621707091,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Imparidentia,superorder,Arctos,6
Serripes,2055302,621707092,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Cardiida,order,Arctos,7
Serripes,2055302,621707093,66B9FB21-D7CB-BEF1-29336C9F66DE95BA,Cardioidea,superfamily,Arctos,8
