"SCIENTIFIC_NAME","TAXON_TERM_ID","TAXON_NAME_ID","CLASSIFICATION_ID","TERM","TERM_TYPE","SOURCE","GN_SCORE","POSITION_IN_CLASSIFICATION","LASTDATE","MATCH_TYPE"
"Abelichnus astigarrae","925039295","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Archosauriformes","unranked clade","The Paleobiology Database","0.988","27","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039294","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Archosauromorpha","infraclass","The Paleobiology Database","0.988","26","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039293","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Diapsida","unranked clade","The Paleobiology Database","0.988","25","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039292","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Romeriida","unranked clade","The Paleobiology Database","0.988","24","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039291","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Eureptilia","unranked clade","The Paleobiology Database","0.988","23","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039290","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Reptilia","class","The Paleobiology Database","0.988","22","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039289","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Sauropsida","unranked clade","The Paleobiology Database","0.988","21","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039288","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Amniota","unranked clade","The Paleobiology Database","0.988","20","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039287","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Cotylosauria","unranked clade","The Paleobiology Database","0.988","19","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039286","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Batrachosauria","unranked clade","The Paleobiology Database","0.988","18","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039285","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Anthracosauria","unranked clade","The Paleobiology Database","0.988","17","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039284","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Reptiliomorpha","unranked clade","The Paleobiology Database","0.988","16","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039283","11711872","288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419|65420","Tetrapoda","unranked clade","The Paleobiology Database","0.988","15","{ts '2019-03-31 18:16:35'}","Exact match by canonical form of a name"
"Abelichnus astigarrae","925039243","11711872","805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647|4129648","Euteleostomi","no rank","Open Tree of Life Reference Taxonomy","0.988","13","{ts '2019-03-31 18:16:35'}","Exact match"
