SCIENTIFIC_NAME,TAXON_TERM_ID,TAXON_NAME_ID,CLASSIFICATION_ID,TERM,TERM_TYPE,SOURCE,GN_SCORE,POSITION_IN_CLASSIFICATION,LASTDATE,MATCH_TYPE
Abelichnus,927515812,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Abelichnus,canonical name,Open Tree of Life Reference Taxonomy,,,{ts '2019-04-02 11:56:59'},
Abelichnus,927515802,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Gnathostomata,superclass,Open Tree of Life Reference Taxonomy,0.75,11,{ts '2019-04-02 11:56:59'},Exact match
Abelichnus,927515803,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Teleostomi,no rank,Open Tree of Life Reference Taxonomy,0.75,12,{ts '2019-04-02 11:56:59'},Exact match
Abelichnus,927515804,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Euteleostomi,no rank,Open Tree of Life Reference Taxonomy,0.75,13,{ts '2019-04-02 11:56:59'},Exact match
Abelichnus,927515805,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Sarcopterygii,class,Open Tree of Life Reference Taxonomy,0.75,14,{ts '2019-04-02 11:56:59'},Exact match
Abelichnus,927515806,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Dipnotetrapodomorpha,no rank,Open Tree of Life Reference Taxonomy,0.75,15,{ts '2019-04-02 11:56:59'},Exact match
Abelichnus,927515807,11820791,805080|93302|304358|332573|5246131|691846|641038|117569|147604|125642|947318|801601|278114|114656|114654|458402|4940726|229562|229560|639642|4129647,Tetrapoda,superclass,Open Tree of Life Reference Taxonomy,0.75,16,{ts '2019-04-02 11:56:59'},Exact match
Abelichnus,927515862,11820791,288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|135358|36322|92204|99771|37768|38182|57091|66477|38215|144376|57250|53366|53207|52775|38505|38513|56397|92043|53374|55483|53943|65419,Averostra,unranked clade,The Paleobiology Database,0.75,38,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515870,11820791,1|2|148|11905117|1448|12606|116242|1140185,Animalia,kingdom,The Interim Register of Marine and Nonmarine Genera,0.75,2,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515871,11820791,1|2|148|11905117|1448|12606|116242|1140185,Chordata,phylum,The Interim Register of Marine and Nonmarine Genera,0.75,3,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515872,11820791,1|2|148|11905117|1448|12606|116242|1140185,Vertebrata,subphylum,The Interim Register of Marine and Nonmarine Genera,0.75,4,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515873,11820791,1|2|148|11905117|1448|12606|116242|1140185,Reptilia,class,The Interim Register of Marine and Nonmarine Genera,0.75,5,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515874,11820791,1|2|148|11905117|1448|12606|116242|1140185,Archosauria,order,The Interim Register of Marine and Nonmarine Genera,0.75,6,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515875,11820791,1|2|148|11905117|1448|12606|116242|1140185,Archosauria,family,The Interim Register of Marine and Nonmarine Genera,0.75,7,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515876,11820791,1|2|148|11905117|1448|12606|116242|1140185,Abelichnus,genus,The Interim Register of Marine and Nonmarine Genera,0.75,8,{ts '2019-04-02 11:56:59'},Exact match by canonical form of a name
Abelichnus,927515877,11820791,1|2|148|11905117|1448|12606|116242|1140185,"Abelichnus Calvo, 1991",name string,The Interim Register of Marine and Nonmarine Genera,,,{ts '2019-04-02 11:56:59'},
