"unique_id","scientific_name","source","noclass_term_type_1","noclass_term_1","noclass_term_type_2","noclass_term_2","noclass_term_type_3","noclass_term_3","noclass_term_type_4","noclass_term_4","noclass_term_type_5","noclass_term_5","noclass_term_type_6","noclass_term_6","noclass_term_type_7","noclass_term_7","noclass_term_type_8","noclass_term_8","noclass_term_type_9","noclass_term_9","class_term_type_0","class_term_0","class_term_type_1","class_term_1","class_term_type_2","class_term_2","class_term_type_3","class_term_3","class_term_type_4","class_term_4","class_term_type_5","class_term_5","class_term_type_6","class_term_6","class_term_type_7","class_term_7","class_term_type_8","class_term_8","class_term_type_9","class_term_9","class_term_type_10","class_term_10","class_term_type_11","class_term_11","class_term_type_12","class_term_12","class_term_type_13","class_term_13"
"unidentifiable 0","unidentifiable","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","University of Alaska Museum","nomenclatural_code","noncompliant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"genus","unidentifiable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cetacea 102","Cetacea","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","University of Alaska Museum","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Chordata","class","Mammalia","order","Cetacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spermophilus 480","Spermophilus","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","Museum of Vertebrate Zoology","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Chordata","class","Mammalia","order","Rodentia","suborder","Sciurognathi","family","Sciuridae","subfamily","Xerinae","tribe","Marmotini","genus","Spermophilus",NA,NA,NA,NA,NA,NA,NA,NA
"Glycymeris 73318","Glycymeris","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","University of Alaska Museum","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Mollusca","class","Bivalvia","order","Arcoida","family","Glycymerididae","genus","Glycymeris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gastropoda 73626","Gastropoda","Arctos Ichnology","source_authority","Arctos ",NA,NA,NA,NA,"nomenclatural_code","ICZN","author_text","Cuvier, 1797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","infrakingdom","Protostomia","superphylum","Lophozoa","phylum","Mollusca","class","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichotropis 74209","Trichotropis","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","University of Alaska Museum","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Mollusca","class","Gastropoda","order","Mesogastropoda","family","Trichotropidae","genus","Trichotropis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turbo 74286","Turbo","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","University of Alaska Museum","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Mollusca","class","Gastropoda","order","Archaeogastropoda","family","Turbinidae","genus","Turbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelidae 1075044","Camelidae","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","Museum of Southwestern Biology","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Chordata","class","Mammalia","order","Artiodactyla","family","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rodentia 1108739","Rodentia","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","Museum of Southwestern Biology","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Chordata","class","Mammalia","order","Rodentia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sciurus 1108934","Sciurus","Arctos Ichnology","source_authority","Arctos ","taxon_status","valid","source_authority","Museum of Vertebrate Zoology","nomenclatural_code","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom","Animalia","phylum","Chordata","class","Mammalia","order","Rodentia","suborder","Sciurognathi","family","Sciuridae","subfamily","Sciurinae","genus","Sciurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
